nchar	israel	israeli	palestine	palestinian	arab	gaza	intifada	jewish	zionism	hamas	language	total	totalperchar	link
57015	170	86	4	127	12	7	4	2	0	3	4	415	0.00727878628431115	https://en.wikipedia.org/wiki/Israeli_West_Bank_barrier
41231	32	23	13	36	18	3	4	4	0	2	4	135	0.00327423540539885	https://en.wikipedia.org/wiki/Bethlehem
11391	43	29	2	32	2	5	1	2	0	0	4	116	0.0101834781845316	https://en.wikipedia.org/wiki/Taba_Summit
6431	19	3	0	0	1	0	0	0	0	0	4	23	0.00357642668325299	https://en.wikipedia.org/wiki/Taba_(Egypt)
28631	55	20	0	23	8	10	1	16	1	3	4	137	0.0047850232265726	https://en.wikipedia.org/wiki/Likud
51385	109	56	5	28	12	9	5	13	0	0	4	237	0.00461224092634037	https://en.wikipedia.org/wiki/Ariel_Sharon
26742	99	45	1	90	5	12	5	2	0	22	4	281	0.0105078154214344	https://en.wikipedia.org/wiki/Road_map_for_peace
92508	5	1	2	4	3	0	0	0	0	0	4	15	0.00016214813853937	https://en.wikipedia.org/wiki/George_W._Bush
29842	49	28	14	71	8	11	2	7	3	28	4	221	0.00740566986126935	https://en.wikipedia.org/wiki/Mahmoud_Abbas
23784	7	1	0	0	24	1	0	1	0	0	4	34	0.00142953245879583	https://en.wikipedia.org/wiki/Aqaba
40994	5	3	0	1	61	0	1	1	0	1	4	73	0.0017807484022052	https://en.wikipedia.org/wiki/Abdullah_of_Saudi_Arabia
2961	15	6	1	8	14	1	0	0	0	0	4	45	0.0151975683890578	https://en.wikipedia.org/wiki/Beirut_Summit
13364	42	11	1	23	71	1	0	2	0	8	4	159	0.0118976354384915	https://en.wikipedia.org/wiki/2007_Arab_League_Summit
26742	99	45	1	90	5	12	5	2	0	22	4	281	0.0105078154214344	https://en.wikipedia.org/wiki/Road_Map_for_Peace
59794	95	43	32	229	18	68	6	0	0	68	4	559	0.00934876409004248	https://en.wikipedia.org/wiki/Palestinian_Authority
83544	18	8	0	4	11	1	0	2	0	2	4	46	0.000550608062817198	https://en.wikipedia.org/wiki/Barack_Obama
64590	9	1	3	2	50	2	0	1	3	3	4	74	0.00114568818702586	https://en.wikipedia.org/wiki/Islamist
42591	122	36	6	71	49	1	0	1	0	2	4	288	0.00676199197013454	https://en.wikipedia.org/wiki/Israel%E2%80%93United_Arab_Emirates_normalization_agreement
5577	30	5	0	4	11	0	0	0	0	0	4	50	0.0089653935807782	https://en.wikipedia.org/wiki/Bahrain%E2%80%93Israel_normalization_agreement
34983	68	24	2	13	7	12	0	7	0	6	4	139	0.00397335848840866	https://en.wikipedia.org/wiki/Ehud_Olmert
105375	275	119	4	77	25	22	3	32	0	29	4	586	0.00556109134045077	https://en.wikipedia.org/wiki/Benjamin_Netanyahu
78671	378	149	22	149	44	15	1	48	6	2	4	814	0.0103468876714418	https://en.wikipedia.org/wiki/Israel_and_apartheid
